metric,value
n_products,1218
n_rows,17970
n_weeks,89
date_min,2016-10-03
date_max,2018-08-27
demand_mean,2.05353366722315
demand_median,1.0
demand_max,59
avg_price_mean,111.518369349009
avg_price_median,84.44
avg_price_min,3.99
avg_price_max,1997.0
r_p05,0.8128685111803763
r_p95,1.1582721840892067
r_min,0.2159592660692014
r_max,3.6923609508423723
r_clip_low,0.7854248334080352
r_clip_high,1.2834565422694701
train_weeks_median,8.0
train_price_span_median,0.11049171370851008
usable_for_elasticity_products,812
