product_code,product_id,category,elasticity,review_count,review_mean,share_low,review_group,rating_group
0,00250175f79f584c14ab5cecd80553cd,housewares,-0.02898448,10,4.5,0.1,Q2 (7-12),Medium (3.5-4.5)
1,005030ef108f58b46b78116f754d8d38,perfumery,-0.48274502,11,4.545454545454546,0.0909090909090909,Q2 (7-12),High (>4.5)
2,008cff0e5792219fae03e570f980b330,sports_leisure,-0.25921693,7,4.285714285714286,0.0,Q2 (7-12),Medium (3.5-4.5)
5,00faa46f36261af8bbf3a4d37fa4841b,fashion_bags_accessories,-0.00054900354,0,0.0,0.0,Q1 (0-6),No rating
7,0152f69b6cf919bcdaf117aa8c43e5a2,bed_bath_table,-1.5078329,40,3.9,0.15,Q4 (25+),Medium (3.5-4.5)
8,016711f78a6a87696645db0a6a834826,health_beauty,-0.21628559,12,4.333333333333333,0.0833333333333333,Q2 (7-12),Medium (3.5-4.5)
11,027cdd14a677a5834bc67a9789db5021,perfumery,-0.82779557,20,3.85,0.2,Q3 (13-24),Medium (3.5-4.5)
12,02ce467092b184e71d3967d29110adc1,office_furniture,-0.27777398,6,2.1666666666666665,0.5,Q1 (0-6),Low (<3.5)
13,02ee0862685e90b57cc241b7c9885f95,perfumery,-3.6376467,14,4.642857142857143,0.0,Q3 (13-24),High (>4.5)
14,036734b5a58d5d4f46b0616ddc047ced,telephony,-0.082139656,41,3.8780487804878048,0.1463414634146341,Q4 (25+),Medium (3.5-4.5)
15,03aad9707028422f38b0563410912177,bed_bath_table,-0.1342041,9,3.4444444444444446,0.4444444444444444,Q2 (7-12),Low (<3.5)
16,03e4e6709b7d6415746769c0bc3e9131,toys,-1.1940501,13,4.153846153846154,0.0769230769230769,Q3 (13-24),Medium (3.5-4.5)
17,04c4a4b9c924494fcf82e0fba966f955,watches_gifts,-0.00065444136,5,4.6,0.0,Q1 (0-6),High (>4.5)
21,05a9dadb8402b6b7ae3dd28f7da187b5,computers_accessories,-0.16052718,29,4.241379310344827,0.0689655172413793,Q4 (25+),Medium (3.5-4.5)
23,06bf70b6e1d67d96308235ef350edc61,toys,-0.10380894,18,4.111111111111111,0.0555555555555555,Q3 (13-24),Medium (3.5-4.5)
